case_id,family,n,seed,oracle_valid,oracle_reason,distinct_values,upper_ok,lower_ok,algorithm,run_index,time_ns,sorted_correct,error
flat_valid_n32_003,flat_valid,32,,True,,True,True,True,sort_plus_laminarity_check,1,31333,True,
flat_valid_n32_003,flat_valid,32,,True,,True,True,True,sort_plus_laminarity_check,2,30458,True,
flat_valid_n32_003,flat_valid,32,,True,,True,True,True,sort_plus_laminarity_check,3,30208,True,
flat_valid_n32_003,flat_valid,32,,True,,True,True,True,sort_plus_laminarity_check,4,30000,True,
flat_valid_n32_003,flat_valid,32,,True,,True,True,True,sort_plus_laminarity_check,5,29958,True,
flat_valid_n64_001,flat_valid,64,,True,,True,True,True,python_sort,1,500,True,
flat_valid_n64_001,flat_valid,64,,True,,True,True,True,python_sort,2,334,True,
flat_valid_n64_001,flat_valid,64,,True,,True,True,True,python_sort,3,333,True,
flat_valid_n64_001,flat_valid,64,,True,,True,True,True,python_sort,4,375,True,
flat_valid_n64_001,flat_valid,64,,True,,True,True,True,python_sort,5,333,True,
flat_valid_n64_001,flat_valid,64,,True,,True,True,True,merge_sort,1,36584,True,
flat_valid_n64_001,flat_valid,64,,True,,True,True,True,merge_sort,2,36042,True,
flat_valid_n64_001,flat_valid,64,,True,,True,True,True,merge_sort,3,35750,True,
flat_valid_n64_001,flat_valid,64,,True,,True,True,True,merge_sort,4,35750,True,
flat_valid_n64_001,flat_valid,64,,True,,True,True,True,merge_sort,5,35500,True,
flat_valid_n64_001,flat_valid,64,,True,,True,True,True,quick_sort,1,19541,True,
flat_valid_n64_001,flat_valid,64,,True,,True,True,True,quick_sort,2,18916,True,
flat_valid_n64_001,flat_valid,64,,True,,True,True,True,quick_sort,3,18458,True,
flat_valid_n64_001,flat_valid,64,,True,,True,True,True,quick_sort,4,18167,True,
flat_valid_n64_001,flat_valid,64,,True,,True,True,True,quick_sort,5,18166,True,
flat_valid_n64_001,flat_valid,64,,True,,True,True,True,sort_plus_laminarity_check,1,106083,True,
flat_valid_n64_001,flat_valid,64,,True,,True,True,True,sort_plus_laminarity_check,2,100916,True,
flat_valid_n64_001,flat_valid,64,,True,,True,True,True,sort_plus_laminarity_check,3,100292,True,
flat_valid_n64_001,flat_valid,64,,True,,True,True,True,sort_plus_laminarity_check,4,100250,True,
flat_valid_n64_001,flat_valid,64,,True,,True,True,True,sort_plus_laminarity_check,5,100250,True,
flat_valid_n64_002,flat_valid,64,,True,,True,True,True,python_sort,1,416,True,
flat_valid_n64_002,flat_valid,64,,True,,True,True,True,python_sort,2,333,True,
flat_valid_n64_002,flat_valid,64,,True,,True,True,True,python_sort,3,333,True,
flat_valid_n64_002,flat_valid,64,,True,,True,True,True,python_sort,4,292,True,
flat_valid_n64_002,flat_valid,64,,True,,True,True,True,python_sort,5,333,True,
flat_valid_n64_002,flat_valid,64,,True,,True,True,True,merge_sort,1,36208,True,
flat_valid_n64_002,flat_valid,64,,True,,True,True,True,merge_sort,2,35833,True,
flat_valid_n64_002,flat_valid,64,,True,,True,True,True,merge_sort,3,48833,True,
flat_valid_n64_002,flat_valid,64,,True,,True,True,True,merge_sort,4,35709,True,
flat_valid_n64_002,flat_valid,64,,True,,True,True,True,merge_sort,5,35583,True,
flat_valid_n64_002,flat_valid,64,,True,,True,True,True,quick_sort,1,18667,True,
flat_valid_n64_002,flat_valid,64,,True,,True,True,True,quick_sort,2,18042,True,
flat_valid_n64_002,flat_valid,64,,True,,True,True,True,quick_sort,3,18000,True,
flat_valid_n64_002,flat_valid,64,,True,,True,True,True,quick_sort,4,17959,True,
flat_valid_n64_002,flat_valid,64,,True,,True,True,True,quick_sort,5,17875,True,
flat_valid_n64_002,flat_valid,64,,True,,True,True,True,sort_plus_laminarity_check,1,105292,True,
flat_valid_n64_002,flat_valid,64,,True,,True,True,True,sort_plus_laminarity_check,2,103500,True,
flat_valid_n64_002,flat_valid,64,,True,,True,True,True,sort_plus_laminarity_check,3,114625,True,
flat_valid_n64_002,flat_valid,64,,True,,True,True,True,sort_plus_laminarity_check,4,113833,True,
flat_valid_n64_002,flat_valid,64,,True,,True,True,True,sort_plus_laminarity_check,5,111084,True,
flat_valid_n64_003,flat_valid,64,,True,,True,True,True,python_sort,1,458,True,
