case_id,family,n,algorithm,measured_run_count,median_time_ns,q1_time_ns,q3_time_ns,iqr_time_ns,mean_time_ns,stdev_time_ns,all_correct,error_count
incremental_valid_n32_002,incremental_valid,32,simplified_jordan_paper_ordinary_list,10,552709.0,550875,555792,4917,558737.6,18772.483409974764,True,0
incremental_valid_n32_002,incremental_valid,32,simplified_jordan_reference,10,182042.0,179541,185625,6084,183141.6,5374.118887987334,True,0
incremental_valid_n32_003,incremental_valid,32,python_sort,10,645.5,625,708,83,704.1,181.42182277162186,True,0
incremental_valid_n32_003,incremental_valid,32,simplified_jordan_paper_ordinary_list,10,627312.5,618291,636917,18626,630116.6,15886.8817386477,True,0
incremental_valid_n32_003,incremental_valid,32,simplified_jordan_reference,10,177229.0,176583,178958,2375,178783.3,5127.452996696638,True,0
incremental_valid_n32_004,incremental_valid,32,python_sort,10,834.0,791,875,84,825.1,58.17874755154726,True,0
incremental_valid_n32_004,incremental_valid,32,simplified_jordan_paper_ordinary_list,10,569729.0,566708,576583,9875,572683.1,11046.488727695832,True,0
incremental_valid_n32_004,incremental_valid,32,simplified_jordan_reference,10,182875.0,178708,184625,5917,182975,4805.827874108222,True,0
incremental_valid_n32_005,incremental_valid,32,python_sort,10,791.5,750,833,83,804,92.05795276165263,True,0
incremental_valid_n32_005,incremental_valid,32,simplified_jordan_paper_ordinary_list,10,602083.0,599291,620167,20876,608183.4,12618.168886349733,True,0
incremental_valid_n32_005,incremental_valid,32,simplified_jordan_reference,10,180000.5,179667,187917,8250,183900,7647.66083336743,True,0
incremental_valid_n512_001,incremental_valid,512,python_sort,10,11771.0,11084,12084,1000,11737.6,702.1356627382552,True,0
incremental_valid_n512_001,incremental_valid,512,simplified_jordan_paper_ordinary_list,10,19555708.5,19368791,19642334,273543,19487250.1,166658.651604243,True,0
incremental_valid_n512_001,incremental_valid,512,simplified_jordan_reference,10,33278187.5,33264625,33310667,46042,33281025.1,62239.51875786887,True,0
